OnsetSec,OffsetSec,Stopwatch,Condition,HasLongITI,,Duration in seconds (settings at top of script),
16,20,00:16,Grasp,0,,Baseline Initial,16
28,32,00:28,Touch,0,,Task Execution,4
40,44,00:40,Look,1,,ITI Short,8
56,60,00:56,Look,0,,ITI Long,12
68,72,01:08,Grasp,1,,Baseline Final,16
84,88,01:24,Touch,0,,,
96,100,01:36,Touch,1,,TotalSec,512
112,116,01:52,Grasp,0,,,
124,128,02:04,Look,0,,,
136,140,02:16,Look,0,,,
148,152,02:28,Touch,0,,,
160,164,02:40,Grasp,1,,,
176,180,02:56,Grasp,1,,,
192,196,03:12,Look,0,,,
204,208,03:24,Touch,0,,,
216,220,03:36,Touch,0,,,
228,232,03:48,Look,1,,,
244,248,04:04,Grasp,0,,,
256,260,04:16,Grasp,1,,,
272,276,04:32,Touch,0,,,
284,288,04:44,Look,0,,,
296,300,04:56,Look,0,,,
308,312,05:08,Grasp,0,,,
320,324,05:20,Touch,1,,,
336,340,05:36,Touch,0,,,
348,352,05:48,Grasp,0,,,
360,364,06:00,Look,1,,,
376,380,06:16,Look,0,,,
388,392,06:28,Touch,1,,,
404,408,06:44,Grasp,0,,,
416,420,06:56,Grasp,0,,,
428,432,07:08,Look,1,,,
444,448,07:24,Touch,0,,,
456,460,07:36,Touch,1,,,
472,476,07:52,Look,0,,,
484,488,08:04,Grasp,0,,,
